Sample ID: CS7-1a   Date/Time: Jun 08 2021 09:19,,,,,,,,,,,
Weight(g)=0.0   Core_A=0   Core_P=0   Dip_A=0   Dip_P=0   Overturn?: N   Hinge_A=0   Hinge_P=0   Decl=0.0,,,,,,,,,,,
Notes: ,,,,,,,,,,,
,,,,,,,,,,,
DEMAG,CD,CI,M,X,Y,Z,S/D,S/H,Orientation,Date&Time,
450,357.5,64.6,3.10E-05,1.33E-05,-5.87E-07,2.80E-05,2.48E+00,0,T_4MR_T+Z-Z,8-Jun, 2021 09:20
450,359.8,64.9,3.15E-05,1.34E-05,-5.82E-08,2.85E-05,1.57E-01,0,T_4MR_T+Z-Z,8-Jun, 2021 09:48
450,0.1,64.7,3.18E-05,1.36E-05,2.71E-08,2.87E-05,1.28E-01,0,T_4MR_T+Z-Z,8-Jun, 2021 09:50
475,354.5,63.3,2.77E-05,1.24E-05,-1.19E-06,2.47E-05,3.35E+00,0,T_4MR_T+Z-Z,8-Jun, 2021 15:12
475,358.4,63,2.85E-05,1.29E-05,-3.56E-07,2.54E-05,1.57E+00,0,T_4MR_T+Z-Z,8-Jun, 2021 16:13
500,353.1,61.7,2.27E-05,1.07E-05,-1.29E-06,2.00E-05,9.62E+00,0,T_4MR_T+Z-Z,9-Jun, 2021 11:23
500,355.7,64.9,1.99E-05,8.39E-06,-6.33E-07,1.80E-05,1.78E+00,0,T_4MR_T+Z-Z,9-Jun, 2021 11:43
500,356.6,60.1,2.26E-05,1.13E-05,-6.77E-07,1.96E-05,3.06E+00,0,T_4MR_T+Z-Z,9-Jun, 2021 11:47
515,353.1,59.2,2.14E-05,1.09E-05,-1.31E-06,1.84E-05,8.26E+00,0,T_4MR_T+Z-Z,10-Jun, 2021 10:16
515,356.6,59,2.09E-05,1.08E-05,-6.44E-07,1.79E-05,1.64E+00,0,T_4MR_T+Z-Z,10-Jun, 2021 10:18
515,352.4,59.2,2.05E-05,1.04E-05,-1.38E-06,1.76E-05,5.08E+00,0,T_4MR_T+Z-Z,10-Jun, 2021 10:20
530,359.5,59.7,1.90E-05,9.57E-06,-8.12E-08,1.64E-05,4.01E-01,0,T_4MR_T+Z-Z,14-Jun, 2021 09:29
530,4,59.1,1.90E-05,9.75E-06,6.82E-07,1.63E-05,3.24E+00,0,T_4MR_T+Z-Z,14-Jun, 2021 09:30
530,355.6,58.4,1.87E-05,9.76E-06,-7.54E-07,1.60E-05,6.03E+00,0,T_4MR_T+Z-Z,14-Jun, 2021 09:33
540,353.4,58.2,1.75E-05,9.13E-06,-1.06E-06,1.48E-05,1.37E+01,0,T_4MR_T+Z-Z,15-Jun, 2021 10:14
540,350,58.3,1.78E-05,9.21E-06,-1.62E-06,1.51E-05,1.04E+01,0,T_4MR_T+Z-Z,15-Jun, 2021 10:16
540,355.4,57.8,1.75E-05,9.31E-06,-7.57E-07,1.48E-05,2.03E+00,0,T_4MR_T+Z-Z,15-Jun, 2021 10:24
550,0.8,60.5,1.23E-05,6.04E-06,8.52E-08,1.07E-05,1.03E+00,0,T_4MR_T+Z-Z,16-Jun, 2021 11:59
550,360,55.6,1.40E-05,7.89E-06,-3.35E-09,1.15E-05,1.23E-02,0,T_4MR_T+Z-Z,16-Jun, 2021 12:02
550,358.8,55.5,1.47E-05,8.30E-06,-1.67E-07,1.21E-05,1.07E+00,0,T_4MR_T+Z-Z,16-Jun, 2021 12:04
560,356.6,56.1,1.31E-05,7.29E-06,-4.36E-07,1.09E-05,1.55E+00,0,T_4MR_T+Z-Z,17-Jun, 2021 09:59
560,358.1,55.9,1.27E-05,7.15E-06,-2.35E-07,1.05E-05,1.52E+00,0,T_4MR_T+Z-Z,17-Jun, 2021 10:01
560,356.7,55.2,1.31E-05,7.47E-06,-4.31E-07,1.08E-05,7.14E+00,0,T_4MR_T+Z-Z,17-Jun, 2021 10:02
565,355.3,58.2,1.11E-05,5.85E-06,-4.78E-07,9.45E-06,6.31E-01,0,T_4MR_T+Z-Z,18-Jun, 2021 09:28
565,357.6,58,1.11E-05,5.85E-06,-2.47E-07,9.38E-06,2.57E+00,0,T_4MR_T+Z-Z,18-Jun, 2021 09:30
565,354.4,59.2,1.12E-05,5.70E-06,-5.64E-07,9.59E-06,4.59E+00,0,T_4MR_T+Z-Z,18-Jun, 2021 09:32
568,351.1,59.4,1.02E-05,5.12E-06,-8.04E-07,8.76E-06,3.62E+00,0,T_4MR_T+Z-Z,21-Jun, 2021 10:37
568,348.5,58.3,9.58E-06,4.93E-06,-1.01E-06,8.15E-06,1.03E+01,0,T_4MR_T+Z-Z,21-Jun, 2021 10:39
568,350.5,59.2,9.56E-06,4.83E-06,-8.04E-07,8.21E-06,7.34E+00,0,T_4MR_T+Z-Z,21-Jun, 2021 10:41
574,8.5,55.7,7.83E-06,4.36E-06,6.52E-07,6.46E-06,3.46E+00,0,T_4MR_T+Z-Z,8-Jul, 2021 11:45
574,11.1,54.2,7.55E-06,4.34E-06,8.50E-07,6.13E-06,1.06E+01,0,T_4MR_T+Z-Z,8-Jul, 2021 11:47
574,8,55.4,7.55E-06,4.25E-06,5.95E-07,6.21E-06,3.47E+00,0,T_4MR_T+Z-Z,8-Jul, 2021 11:49
576,320.2,60.1,5.68E-06,2.18E-06,-1.82E-06,4.93E-06,7.27E+00,0,T_4MR_T+Z-Z,9-Jul, 2021 10:46
576,315.7,57.6,4.97E-06,1.91E-06,-1.86E-06,4.20E-06,5.06E+00,0,T_4MR_T+Z-Z,9-Jul, 2021 11:25
576,311.3,55.2,4.71E-06,1.77E-06,-2.02E-06,3.87E-06,5.44E+01,0,T_4MR_T+Z-Z,9-Jul, 2021 11:27
579,342.4,59.9,4.63E-06,2.21E-06,-7.00E-07,4.00E-06,4.71E+00,0,T_4MR_T+Z-Z,19-Jul, 2021 11:10
579,337.5,61.7,4.54E-06,1.99E-06,-8.21E-07,4.00E-06,3.60E+00,0,T_4MR_T+Z-Z,19-Jul, 2021 11:17
579,336.8,57.1,4.05E-06,2.02E-06,-8.67E-07,3.40E-06,2.11E+01,0,T_4MR_T+Z-Z,19-Jul, 2021 11:18
582,186.4,35.2,2.43E-06,-1.97E-06,-2.23E-07,1.40E-06,1.01E+00,0,T_4MR_T+Z-Z,19-Jul, 2021 17:25
582,188.9,34.7,2.59E-06,-2.10E-06,-3.30E-07,1.47E-06,1.03E+00,0,T_4MR_T+Z-Z,19-Jul, 2021 17:27
582,191.7,33.1,2.58E-06,-2.12E-06,-4.39E-07,1.41E-06,1.75E+00,0,T_4MR_T+Z-Z,19-Jul, 2021 17:29
585,222,37.5,3.35E-06,-1.97E-06,-1.78E-06,2.04E-06,5.78E+00,0,T_4MR_T+Z-Z,21-Jul, 2021 07:04
585,221.6,34.1,3.30E-06,-2.04E-06,-1.82E-06,1.85E-06,1.15E+01,0,T_4MR_T+Z-Z,21-Jul, 2021 07:06
585,224,34,3.27E-06,-1.95E-06,-1.89E-06,1.83E-06,1.07E+01,0,T_4MR_T+Z-Z,21-Jul, 2021 07:07