Sample ID: Z   Date/Time: Apr 19 2021 16:05,,,,,,,,,,,
Weight(g)=0.0   Core_A=0   Core_P=0   Dip_A=0   Dip_P=0   Overturn?: N   Hinge_A=0   Hinge_P=0   Decl=0.0,,,,,,,,,,,
Notes: ,,,,,,,,,,,
,,,,,,,,,,,
DEMAG,CD,CI,M,X,Y,Z,S/D,S/H,Orientation,Date&Time,
NRM,284,-68.9,7.39E-04,6.46E-05,-2.58E-04,-6.89E-04,5.53E+02,0,T_4MR_T+Z,19-Apr, 2021 16:05
NRM,284.3,-68.9,7.40E-04,6.57E-05,-2.58E-04,-6.91E-04,5.52E+02,0,T_4MR_T+Z,19-Apr, 2021 16:07
NRM,102.2,71,6.66E-04,-4.59E-05,2.12E-04,6.30E-04,4.47E+02,0,T_4MR_T+Z,19-Apr, 2021 16:19
NRM,259.3,86.4,5.74E-04,-6.67E-06,-3.55E-05,5.73E-04,3.93E+01,0,T_4MR_T+Z-Z,19-Apr, 2021 16:21
NRM,229.2,38.3,2.92E-04,-1.50E-04,-1.74E-04,1.81E-04,4.77E+02,0,T_4MR_T XYZ,19-Apr, 2021 16:37
NRM,106.2,66.5,6.83E-04,-7.60E-05,2.62E-04,6.26E-04,1.09E+03,0,T_4MR_T+Z,20-Apr, 2021 10:50
NRM,283.6,68.3,6.15E-04,5.36E-05,-2.21E-04,5.71E-04,5.18E+02,0,T_4MR_T+Z,20-Apr, 2021 12:21
NRM,321.2,82.9,7.81E-04,7.48E-05,-6.01E-05,7.75E-04,7.69E+02,0,T_4MR_T+Z,20-Apr, 2021 12:30
NRM,298.3,86.1,1.03E-03,3.32E-05,-6.16E-05,1.03E-03,5.30E+02,0,T_4MR_T+Z,20-Apr, 2021 12:32
NRM,205.5,88.5,1.04E-03,-2.48E-05,-1.19E-05,1.04E-03,1.74E+02,0,T_4MR_T+Z-Z,20-Apr, 2021 12:34
NRM,179.2,85.4,1.06E-03,-8.46E-05,1.24E-06,1.05E-03,6.30E+01,0,TMT XYZ,20-Apr, 2021 15:28
NRM,187.3,-89.5,7.01E-04,-6.18E-06,-7.96E-07,-7.01E-04,3.52E+00,0,T_4MR_T+Z,28-May, 2021 14:47
NRM,319.1,-87.4,6.87E-04,2.32E-05,-2.01E-05,-6.87E-04,3.67E+02,0,T_4MR_T+Z-Z,29-May, 2021 15:20
NRM,50.4,89.4,7.63E-04,5.45E-06,6.59E-06,7.63E-04,4.65E+01,0,T_4MR_T+Z,29-May, 2021 15:46
NRM,144.1,87.1,7.68E-04,-3.14E-05,2.27E-05,7.67E-04,7.65E+02,0,T_4MR_T+Z-Z,1-Jun, 2021 13:08
NRM,92.1,0.9,6.46E-04,-2.41E-05,6.46E-04,1.05E-05,2.20E+02,0,T_4MR_T+Z-Z,1-Jun, 2021 13:14
NRM,208.6,87.6,7.61E-04,-2.80E-05,-1.53E-05,7.60E-04,3.58E+01,0,T_4MR_T+Z-Z,1-Jun, 2021 13:51
NRM,214.3,86.8,1.16E-03,-5.30E-05,-3.61E-05,1.16E-03,3.97E+02,0,T_4MR_T+Z-Z,1-Jun, 2021 14:19
NRM,209,86.9,1.12E-03,-5.35E-05,-2.97E-05,1.12E-03,9.64E+01,0,T_4MR_T+Z-Z,2-Jun, 2021 11:52
NRM,359.8,-3,1.11E-03,1.11E-03,-4.52E-06,-5.81E-05,2.90E+01,0,TMT XYZ,2-Jun, 2021 12:00
NRM,225.2,88,1.06E-03,-2.62E-05,-2.64E-05,1.06E-03,1.18E+03,0,T_4MR_T+Z-Z,2-Jun, 2021 12:09